Year,Crime Type,Sex,Person,Victimisation Rate,Male ('000),Female ('000)
2008,Physical Assault,Male,321300,3.9,321.3,206.1
2009,Physical Assault,Male,292400,3.4,292.4,217.1
2010,Physical Assault,Male,283600,3.2,283.6,203.0
2011,Physical Assault,Male,315500,3.5,315.5,224.3
2012,Physical Assault,Male,294100,3.2,294.1,203.9
2013,Physical Assault,Male,228900,2.5,228.9,190.4
2014,Physical Assault,Male,210900,2.3,210.9,189.3
2015,Physical Assault,Male,240400,2.6,240.4,225.3
2016,Physical Assault,Male,228700,2.4,228.7,226.9
2017,Physical Assault,Male,226700,2.4,226.7,244.9
2018,Physical Assault,Male,243700,2.5,243.7,228.3
2019,Physical Assault,Male,225600,2.3,225.6,241.0
2020,Physical Assault,Male,196100,2.0,196.1,213.1
2021,Physical Assault,Male,208200,2.1,208.2,177.4
2022,Physical Assault,Male,183500,1.8,183.5,179.9
2008,Direct Threat,Male,392500,4.7,392.5,274.5
2009,Direct Threat,Male,306700,3.6,306.7,233.3
2010,Direct Threat,Male,313600,3.6,313.6,230.1
2011,Direct Threat,Male,368100,4.1,368.1,227.9
2012,Direct Threat,Male,307300,3.4,307.3,204.4
2013,Direct Threat,Male,273100,3.0,273.1,223.8
2014,Direct Threat,Male,267400,2.9,267.4,224.5
2015,Direct Threat,Male,248900,2.7,248.9,242.5
2016,Direct Threat,Male,287300,3.1,287.3,208.3
2017,Direct Threat,Male,285000,3.0,285.0,212.3
2018,Direct Threat,Male,294100,3.0,294.1,254.6
2019,Direct Threat,Male,259000,2.6,259.0,235.9
2020,Direct Threat,Male,227200,2.3,227.2,215.0
2021,Direct Threat,Male,239400,2.4,239.4,205.3
2022,Direct Threat,Male,229800,2.2,229.8,228.0
2008,Indirect Threat,Male,99400,1.2,99.4,104.7
2009,Indirect Threat,Male,63500,0.7,63.5,83.5
2010,Indirect Threat,Male,73700,0.8,73.7,97.0
2011,Indirect Threat,Male,107100,1.2,107.1,106.0
2012,Indirect Threat,Male,89000,1.0,89.0,119.2
2013,Indirect Threat,Male,72500,0.8,72.5,107.6
2014,Indirect Threat,Male,86400,0.9,86.4,109.9
2015,Indirect Threat,Male,81600,0.9,81.6,101.5
2016,Indirect Threat,Male,84400,0.9,84.4,98.8
2017,Indirect Threat,Male,68500,0.7,68.5,85.7
2018,Indirect Threat,Male,86200,0.9,86.2,117.1
2019,Indirect Threat,Male,74900,0.8,74.9,104.7
2020,Indirect Threat,Male,63600,0.6,63.6,102.4
2021,Indirect Threat,Male,60500,0.6,60.5,74.3
2022,Indirect Threat,Male,63100,0.6,63.1,94.0
2008,Combined Threats,Male,609200,7.3,609.2,410.8
2009,Combined Threats,Male,543200,6.3,543.2,411.0
2010,Combined Threats,Male,550000,6.3,550.0,402.7
2011,Combined Threats,Male,618100,6.9,618.1,416.7
2012,Combined Threats,Male,536800,5.9,536.8,365.8
2013,Combined Threats,Male,457900,5.0,457.9,367.6
2014,Combined Threats,Male,441100,4.8,441.1,356.3
2015,Combined Threats,Male,443100,4.8,443.1,413.0
2016,Combined Threats,Male,471500,5.0,471.5,386.9
2017,Combined Threats,Male,478200,5.0,478.2,407.7
2018,Combined Threats,Male,480100,4.9,480.1,427.1
2019,Combined Threats,Male,440400,4.5,440.4,426.4
2020,Combined Threats,Male,380500,3.8,380.5,386.2
2021,Combined Threats,Male,415000,4.1,415.0,349.3
2022,Combined Threats,Male,371100,3.6,371.1,364.6
2008,Combined Assaults,Male,628800,7.5,628.8,436.4
2009,Combined Assaults,Male,563400,6.5,563.4,431.7
2010,Combined Assaults,Male,564200,6.5,564.2,430.0
2011,Combined Assaults,Male,640500,7.2,640.5,452.9
2012,Combined Assaults,Male,559400,6.2,559.4,400.7
2013,Combined Assaults,Male,474400,5.2,474.4,392.7
2014,Combined Assaults,Male,456000,4.9,456.0,382.2
2015,Combined Assaults,Male,467000,5.0,467.0,432.7
2016,Combined Assaults,Male,491700,5.2,491.7,418.8
2017,Combined Assaults,Male,494500,5.2,494.5,435.8
2018,Combined Assaults,Male,507800,5.2,507.8,449.5
2019,Combined Assaults,Male,451500,4.6,451.5,450.4
2020,Combined Assaults,Male,409600,4.1,409.6,416.3
2021,Combined Assaults,Male,434100,4.3,434.1,371.6
2022,Combined Assaults,Male,385600,3.8,385.6,382.5
2008,Robbery,Male,69300,0.8,69.3,27.4
2009,Robbery,Male,43700,0.5,43.7,27.8
2010,Robbery,Male,46900,0.5,46.9,30.4
2011,Robbery,Male,39700,0.4,39.7,26.8
2012,Robbery,Male,50200,0.6,50.2,15.5
2013,Robbery,Male,32000,0.4,32.0,31.0
2014,Robbery,Male,29900,0.3,29.9,25.9
2015,Robbery,Male,40700,0.4,40.7,29.9
2016,Robbery,Male,33400,0.4,33.4,39.4
2017,Robbery,Male,31000,0.3,31.0,17.0
2018,Robbery,Male,35600,0.4,35.6,34.7
2019,Robbery,Male,44600,0.5,44.6,28.9
2020,Robbery,Male,29100,0.3,29.1,25.8
2021,Robbery,Male,31600,0.3,31.6,21.2
2022,Robbery,Male,29000,0.3,29.0,24.0
2008,Sexual Assault,Male,11300,0.1,11.3,41.2
2009,Sexual Assault,Male,9000,0.1,9,34.3
2010,Sexual Assault,Male,4100,0.1,4.1,50.7
2011,Sexual Assault,Male,7800,0.1,7.8,43.4
2012,Sexual Assault,Male,14400,0.2,14.4,26.4
2013,Sexual Assault,Male,8500,0.1,8.5,41.0
2014,Sexual Assault,Male,11100,0.1,11.1,50.2
2015,Sexual Assault,Male,16000,0.2,16,60.2
2016,Sexual Assault,Male,12600,0.1,12.6,65.4
2017,Sexual Assault,Male,9000,0.1,9,43.1
2018,Sexual Assault,Male,15800,0.2,15.8,68.6
2019,Sexual Assault,Male,13400,0.1,13.4,50.0
2020,Sexual Assault,Male,10400,0.1,10.4,92.5
2021,Sexual Assault,Male,2500,0.0,2.5,92.8
2022,Sexual Assault,Male,21900,0.3,21.9,65.6
2008,Physical Assault,Female,206100,2.4,,
2009,Physical Assault,Female,217100,2.4,,
2010,Physical Assault,Female,203000,2.3,,
2011,Physical Assault,Female,224300,2.5,,
2012,Physical Assault,Female,203900,2.2,,
2013,Physical Assault,Female,190400,2.0,,
2014,Physical Assault,Female,189300,2.0,,
2015,Physical Assault,Female,225300,2.3,,
2016,Physical Assault,Female,226900,2.3,,
2017,Physical Assault,Female,244900,2.5,,
2018,Physical Assault,Female,228300,2.3,,
2019,Physical Assault,Female,241000,2.3,,
2020,Physical Assault,Female,213100,2.1,,
2021,Physical Assault,Female,177400,1.7,,
2022,Physical Assault,Female,179900,1.7,,
2008,Direct Threat,Female,274500,3.2,,
2009,Direct Threat,Female,233300,2.6,,
2010,Direct Threat,Female,230100,2.6,,
2011,Direct Threat,Female,227900,2.5,,
2012,Direct Threat,Female,204400,2.2,,
2013,Direct Threat,Female,223800,2.4,,
2014,Direct Threat,Female,224500,2.4,,
2015,Direct Threat,Female,242500,2.5,,
2016,Direct Threat,Female,208300,2.1,,
2017,Direct Threat,Female,212300,2.1,,
2018,Direct Threat,Female,254600,2.5,,
2019,Direct Threat,Female,235900,2.3,,
2020,Direct Threat,Female,215000,2.1,,
